,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset
0,2004-01-01,1072933200,8.8,-2.9,4.0,6.1,-5.9,1.6,-1.4,69.45,4.08,,8.33,,,,,25.2,172.6,1025.7,48.5,15.4,,,0.0,07:58:01,1072961881,17:22:30,1072995750,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72429093815', '72429613841', '72429793812']",obs,
1,2004-01-02,1073019600,14.4,7.2,10.8,14.4,4.1,9.7,10.1,95.66,3.77,,29.17,,,,,27.6,200.5,1016.7,100.0,9.5,,,0.0,07:58:09,1073048289,17:23:19,1073082199,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72429093815', '72429613841', '72429793812']",obs,
2,2004-01-03,1073106000,16.5,7.0,12.8,16.5,3.4,12.1,11.1,89.7,17.89,,75.0,,,,,26.7,213.2,1012.5,99.7,12.3,,,0.0,07:58:14,1073134694,17:24:10,1073168650,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72429093815', '72429613841', '72429793812']",obs,
3,2004-01-04,1073192400,6.5,2.3,3.4,3.5,-3.3,-0.9,2.4,93.48,63.54,,100.0,,,,,29.5,69.8,1012.3,100.0,8.9,,,0.0,07:58:17,1073221097,17:25:03,1073255103,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72429093815', '72429613841', '72429793812']",obs,
4,2004-01-05,1073278800,3.0,-1.9,-0.4,-1.1,-7.9,-5.4,-2.5,86.07,3.73,,29.17,,,,,25.1,301.8,1017.4,99.6,12.4,,,0.0,07:58:18,1073307498,17:25:57,1073341557,0.48,"Snow, Overcast",Cloudy skies throughout the day with rain clearing later.,snow,"['72429093815', '72429613841', '72429793812']",obs,
5,2004-01-06,1073365200,-0.9,-13.1,-9.7,-6.4,-24.3,-19.2,-15.2,64.72,0.0,,0.0,,,,,36.3,264.7,1031.1,46.5,15.5,,,0.0,07:58:16,1073393896,17:26:52,1073428012,0.49,Partially cloudy,Clearing in the afternoon.,wind,"['72429093815', '72429613841', '72429793812']",obs,
6,2004-01-07,1073451600,-4.2,-10.9,-7.8,-11.8,-19.7,-15.7,-14.3,60.2,0.0,,0.0,,,,,36.1,242.0,1032.3,27.9,15.3,,,0.0,07:58:13,1073480293,17:27:49,1073514469,0.5,Partially cloudy,Partly cloudy throughout the day.,wind,"['72429093815', '72429613841', '72429793812']",obs,
7,2004-01-08,1073538000,-2.8,-6.7,-4.2,-3.7,-12.7,-8.5,-9.0,71.17,0.38,,12.5,,,,,19.3,179.3,1026.8,93.3,13.1,,,0.0,07:58:07,1073566687,17:28:47,1073600927,0.51,"Snow, Overcast",Cloudy skies throughout the day with afternoon rain.,snow,"['72429093815', '72429613841', '72429793812']",obs,
8,2004-01-09,1073624400,-3.7,-10.3,-5.4,-3.7,-18.7,-11.7,-8.6,78.8,0.04,,12.5,,,,,26.9,23.8,1027.2,81.1,14.0,,,0.0,07:57:59,1073653079,17:29:46,1073687386,0.52,"Snow, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,snow,"['72429093815', '72429613841', '72429793812']",obs,
9,2004-01-10,1073710800,-6.6,-13.8,-9.6,-9.2,-20.4,-14.6,-16.0,60.51,0.0,,0.0,,,,,18.7,162.6,1032.9,37.2,16.0,,,0.0,07:57:49,1073739469,17:30:46,1073773846,0.54,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['72429093815', '72429613841', '72429793812']",obs,
10,2004-01-11,1073797200,2.9,-6.9,-2.4,-2.7,-14.1,-8.6,-9.2,59.86,0.0,,0.0,,,,,32.3,199.0,1022.8,52.6,16.0,,,0.0,07:57:37,1073825857,17:31:47,1073860307,0.57,Partially cloudy,Partly cloudy throughout the day.,wind,"['72429093815', '72429613841', '72429793812']",obs,
11,2004-01-12,1073883600,3.7,0.9,2.2,-1.4,-5.0,-2.9,-0.9,80.4,0.0,,0.0,,,,,28.8,248.7,1020.1,88.6,13.2,,,0.0,07:57:22,1073912242,17:32:49,1073946769,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72429093815', '72429613841', '72429793812']",obs,
12,2004-01-13,1073970000,0.7,-2.0,-0.7,-4.2,-7.7,-5.7,-4.7,75.68,0.0,,0.0,,,,,28.1,281.9,1023.9,73.7,12.0,,,0.0,07:57:06,1073998626,17:33:53,1074033233,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72429093815', '72429613841', '72429793812']",obs,
13,2004-01-14,1074056400,4.4,-6.9,-1.1,-0.9,-10.4,-5.6,-5.4,73.57,0.05,,8.33,,,,,38.7,244.7,1014.7,68.2,15.0,,,0.0,07:56:47,1074085007,17:34:57,1074119697,0.72,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,snow,"['72429093815', '72429613841', '72429793812']",obs,
14,2004-01-15,1074142800,-0.8,-9.4,-6.3,-7.1,-16.6,-12.2,-11.6,66.2,0.0,,0.0,,,,,34.2,275.5,1021.2,63.5,15.9,,,0.0,07:56:26,1074171386,17:36:02,1074206162,0.77,Partially cloudy,Partly cloudy throughout the day.,wind,"['72429093815', '72429613841', '72429793812']",obs,
15,2004-01-16,1074229200,-4.2,-8.1,-6.3,-9.6,-14.7,-12.2,-12.7,61.15,0.0,,0.0,,,,,18.4,103.2,1025.9,86.9,15.7,,,0.0,07:56:03,1074257763,17:37:08,1074292628,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72429093815', '72429613841', '72429793812']",obs,
16,2004-01-17,1074315600,1.0,-5.7,-2.7,-1.5,-12.2,-7.8,-6.0,79.39,11.26,,62.5,,,,,19.9,153.7,1016.7,98.1,10.3,,,0.0,07:55:37,1074344137,17:38:14,1074379094,0.88,"Snow, Overcast",Cloudy skies throughout the day with rain.,snow,"['72429093815', '72429613841', '72429793812']",obs,
