,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset
0,2005-01-01,1104555600,22.0,6.4,13.5,22.0,6.4,13.4,9.2,77.28,0.0,,0.0,,,,,11.6,193.5,1029.0,62.4,15.2,,,0.0,07:24:43,1104582283,17:02:25,1104616945,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['99999993775', '72401013740', '72308493775']",obs,
1,2005-01-02,1104642000,11.3,6.7,9.1,11.3,6.0,8.7,7.0,87.01,0.0,,0.0,,,,,16.6,113.2,1033.7,87.4,15.1,,,0.0,07:24:51,1104668691,17:03:13,1104703393,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['99999993775', '72401013740', '72308493775']",obs,
2,2005-01-03,1104728400,21.1,5.3,13.3,21.1,5.3,13.2,10.0,82.26,0.0,,0.0,,,,,23.9,204.5,1027.5,67.1,13.6,,,0.0,07:24:57,1104755097,17:04:04,1104789844,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['99999993775', '72401013740', '72308493775']",obs,
3,2005-01-04,1104814800,24.2,14.4,18.6,24.2,14.4,18.6,13.3,72.18,3.3,,4.17,,,,,21.3,214.9,1021.8,74.3,15.5,,,0.0,07:25:00,1104841500,17:04:55,1104876295,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['99999993775', '72401013740', '72308493775']",obs,
4,2005-01-05,1104901200,13.4,8.9,10.5,13.4,6.5,10.1,10.5,100.0,0.3,,4.17,,,,,20.5,88.5,1018.2,79.2,1.5,,,0.0,07:25:02,1104927902,17:05:47,1104962747,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,['72401013740'],obs,
5,2005-01-06,1104987600,22.2,8.9,14.4,22.2,7.4,14.1,12.7,90.8,0.9,,12.5,,,,59.4,38.9,195.7,1011.4,67.1,9.5,,,0.0,07:25:01,1105014301,17:06:41,1105049201,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,['72401013740'],obs,
6,2005-01-07,1105074000,16.7,6.8,10.0,16.7,4.0,9.0,3.0,62.35,0.0,,0.0,,,,,24.1,129.3,1023.6,72.6,16.0,,,0.0,07:24:59,1105100699,17:07:36,1105135656,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['99999993775', '72401013740', '72308493775']",obs,
7,2005-01-08,1105160400,16.7,6.2,9.7,16.7,4.0,8.8,7.4,86.4,3.6,,20.83,,,,,22.3,148.6,1022.7,66.7,10.3,,,0.0,07:24:54,1105187094,17:08:32,1105222112,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['99999993775', '72401013740', '72308493775']",obs,
8,2005-01-09,1105246800,9.6,0.3,4.8,9.6,-0.1,4.0,1.2,78.31,0.06,,4.17,,,,,12.7,91.4,1028.9,17.3,15.3,,,0.0,07:24:48,1105273488,17:09:29,1105308569,1.0,Rain,Clear conditions throughout the day with morning rain.,rain,"['99999993775', '72401013740', '72308493775']",obs,
9,2005-01-10,1105333200,17.2,2.2,8.8,17.2,-0.6,7.6,4.6,78.58,0.0,,0.0,,,,,16.6,206.5,1021.3,53.8,12.2,,,0.0,07:24:39,1105359879,17:10:27,1105395027,1.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['99999993775', '72401013740', '72308493775']",obs,
10,2005-01-11,1105419600,13.2,2.7,7.8,13.2,2.4,7.5,4.7,81.82,0.0,,0.0,,,,,17.0,137.8,1021.9,63.4,12.5,,,0.0,07:24:28,1105446268,17:11:26,1105481486,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['99999993775', '72401013740', '72308493775']",obs,
11,2005-01-12,1105506000,21.0,7.3,13.9,21.0,5.5,13.6,10.9,83.03,0.0,,0.0,,,,,21.6,189.2,1020.5,59.9,11.0,,,0.0,07:24:15,1105532655,17:12:25,1105567945,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['99999993775', '72401013740', '72308493775']",obs,
12,2005-01-13,1105592400,23.2,15.1,19.0,23.2,15.1,19.0,15.6,81.51,0.91,,16.67,,,,59.4,39.8,185.7,1018.2,87.6,14.7,,,0.0,07:24:00,1105619040,17:13:26,1105654406,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['99999993775', '72401013740', '72308493775']",obs,
13,2005-01-14,1105678800,22.0,3.6,11.7,22.0,0.2,9.6,7.2,74.57,46.05,,33.33,,,,63.0,40.4,244.9,1020.2,81.3,13.1,,,0.0,07:23:44,1105705424,17:14:27,1105740867,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['99999993775', '72401013740', '72308493775']",obs,
